date,asset_id,regime,crash,growth,inflation,risk_appetite,liquidity,fwd_ret_21d,p_calm_pit,p_stress_pit,p_crash_pit,p_calm,p_stress,p_crash,fwd_ret_5d
2018-03-30,QF01,0,0,-0.0169161852311861,-0.0096053451032473,0.0715740663733374,0.0328002967091915,-0.0351533397842932,0.6767884822211205,0.3478992205760778,0.397945762538068,0.686602067834184,0.16302528973298752,0.15037264243282839,0.024516649437016654
2018-04-02,QF01,0,0,0.0087700035066763,-0.0255816366467429,0.0481392192868544,0.0266391427465652,-0.0486677109772282,0.7009261559207072,0.3246475549242105,0.3858331353836301,0.7136630729904261,0.14275244554229158,0.14358448146728225,0.019837497417896727
2018-04-03,QF01,0,0,0.0442186253850292,-0.0222447978952652,0.0139428435293215,0.0194753510311126,-0.0590377310437399,0.654333538621665,0.35704636334400613,0.42777879132510654,0.6623637194279769,0.17082238181415357,0.16681389875786964,-0.0009472928081399375
2018-04-04,QF01,0,0,0.0510946028101551,-0.0179423736630804,-0.0016688636650795,0.0214040547860988,-0.069210944071561,0.663577198208307,0.35050419891644086,0.41989208183701293,0.6722440182971992,0.16525524094387306,0.16250074075892787,-0.02874625760539245
2018-04-05,QF01,0,0,0.0112508897655819,-0.0071033351711521,0.025996145320531,0.016919935245589,-0.06267853900496,0.6888038122216933,0.3858480402797293,0.3203903064570327,0.699928644774108,0.1948304110511699,0.10524094417472202,-0.012730984120865308
2018-04-06,QF01,0,0,-0.020084481206564,-0.0170440640393317,-0.0011453303048786,-0.0301765134880655,-0.0400463971447191,0.644384326153333,0.36811532141649034,0.42994023808558507,0.6518674150852282,0.18014021072779213,0.16799237418697963,0.002685555934919125
2018-04-09,QF01,0,0,-0.0048936057069833,-0.0047784221953408,-0.0390374774215291,-0.0164056897484256,-0.0420236977088288,0.6993360565562667,0.32516854079910273,0.3882440492301337,0.7118438428277308,0.14321452335433482,0.14494163381793435,-0.0003270771486470459
2018-04-10,QF01,0,0,0.0164454123102464,-0.0002819051712137,-0.0276534705796844,-0.033340588002425,-0.049544947681442,0.6212374649874477,0.3885888442447335,0.44282472918240195,0.6279336727220564,0.19707755110936118,0.1749887761685824,0.013712523265128297
2018-04-11,QF01,1,0,0.0260474198235137,-0.0138153659367171,-0.0386668706813341,-0.0009999087671034,-0.0483392111135142,0.22679459342171732,0.7871078132252469,0.5747408074589174,0.21447607872829658,0.5396316992524893,0.24589222201921407,0.015364957382813722
2018-04-12,QF01,1,0,0.0445076065392514,-0.0186713762491005,-0.0470308224056802,0.0056162053336042,-0.0693013640429039,0.20292492521911282,0.8169514535713749,0.5699630445374168,0.1804606573300053,0.5762539453590406,0.2432853973109541,-0.002272917234294517
2018-04-13,QF01,2,0,0.0347789586456564,-0.0212567607695226,-0.0362876459795881,0.0236097170548221,-0.1085775306807223,0.17237558819670218,0.46375703772588617,0.9540598279757133,0.13223544062933693,0.25700050353919773,0.6107640558314653,-0.01665034923818049
2018-04-16,QF01,2,0,0.0221160446201264,-0.0258765792634245,-0.0470587682441581,0.0843936705450949,-0.1325035147984546,0.1523835761773182,0.5358647573584326,0.9467050358361286,0.09689150562636056,0.3132098739681329,0.5898986204055066,-0.022785825003273925
